;7.5.;14.5.;21.5.;27.5.;4.6.;5.6.;11.6.;24.6.;2.7.;16.7.;23.7.;13.8.;19.8.;20.8.;26.8.;27.8.;2.9.;3.9.;17.9.;24.9.
Lemon Sunrise;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Let It Flow (For ""Dr. J"")";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
It's Not Unusual;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
I was made for lovin' you;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Half a Minute [Joey Negro Sunburnt Mix];1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Spooky;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You're So Vain;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Groovin';1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dedicated to the One I Love;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brother Louie;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Always On My Mind;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sentimento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Busenfreund;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nunca me Deixes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nosotros;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Little Black Samba (LP Version);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No Tengas Miedo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Discotheque;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hotel Sunshine (Tag);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolero Rosso;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Somebody (feat. Grace);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
White Wedding;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Worth the Wait (feat. Jill Scott) [Caspar Olsn Remix];1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lowdown;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Why;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Smooth Operator [Rumba 30 TPM];1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
Who's That Girl;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Horse With No Name;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Jamming;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Do It Again;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
These Boots Are Made for Walking;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Watermelon Man [Cha-Cha 30 TPM];1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baby I Need Your Loving;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupid;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suspicious Minds;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Every Beat of My Heart;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Kann denn Liebe Sünde sein;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
Feel Like Making Love;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Somethin' Stupid;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
I'll Be Your Baby Tonight;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Sound of Silence;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kiss;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Cancun (A Tribute to Henry Mancini);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albatross;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cool Cat;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Jack of Speed;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Every Kinda People;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JoJo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brazil;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1
If I Had a Hammer (The Hammer Song) (live);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Take On Me;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Blinding Lights;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1
The Way to Your Heart [Discofox];1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
You Can't Hurry Love;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Nur geträumt (New Version);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polka, Polka, Polka [Single Version];1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0
Leev Marie;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0
Verdamp lang her;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marie Marie;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Let's Twist Again (mono);1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1
Hit the Road Jack;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1
Daddy Cool;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
"Funkytown (Original 12"" Version)";1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
Voulez-Vous;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Vertigo / Relight my Fire (Full Length Version);1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Wannabe (Radio Edit);1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Everybody (Backstreet's Back) (Extended Version);1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
The Shoop Shoop Song (It's In His Kiss) (Album Version);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"I Will Survive (Original 12"" Mix)";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Midnight Mouse (Revised);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"What Is Love (12"" Mix)";1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;0;1
Sing Hallelujah! (Short);1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1
Su lang de Leechter noch brenne;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Superjeilezick;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Am Bickendorfer Büdche;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schenk mir Dein Herz (Album Version);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Live Is Life;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Come on Eileen (Radio Edit);1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Don't Bring Me Down;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bamboleo (Album Version);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Not Fair;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Down Under;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
She Drives Me Crazy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Take a Chance on Me;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What's Love Got to Do with It;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ain't Nobody (Fingermanedit);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Don't Worry Be Happy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Leave The Door Open;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calma (Remix);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niña Bonita;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KESI;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heartbeat Song (Acoustic Version);0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1
Umbrella (originaly by Rihanna);0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0
I Need A Dollar (Acoustic);0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0
Papillon (aka Hot Butterfly);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shaker Song;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1
Sunny (feat. Lisa Shaw);0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Somethin' Stupid [Rumba 27 TPM];0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
Malamente;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
Nordeste;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A Fuego Lento;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lady (Acoustic Version);0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0
Hotline Bling (Acoustic Version);0;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0
Azzurro;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Boy (Acoustic);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Dream a Little Dream;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0
Lovely Day;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0
Music & Lights [The Reflex Revision];0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0
Good Old-Fashioned Lover Boy;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
U Blow My Mind;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limon Con Sal;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Still the Same;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Eye Of The Tiger;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
Qué vendrá;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Push the Button;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0
I Kissed a Girl (Acoustic Version);0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0
Love Is a Temple;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0
Intoxicated;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1
Fly Me To The Moon;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1
Santa Maria (Del Buen Ayre) [Tango 29 TPM];0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1
A Night Like This;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1
Odio Rosas [Cha-Cha 33 TPM];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Don't You Worry 'Bout a Thing;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No Diggity;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0
Love And Happiness (feat. Roger Cicero);0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Love Is Here;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0
Lotta Love;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0
Better Together;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Sweet About Me (Acoustic Version);0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
Big Yellow Taxi;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1
Matador;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1
Sleeping Satellite (Acoustic Version);0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0
Shape of You (Acoustic);0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0
Perfect Fit;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0
You're Beautiful;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Take Me to Church (Acoustic Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eso Beso (That Kiss!);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hero;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I've Got You Under My Skin;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Can't Take my Eyes Off You;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Kiss Me (feat. Brenda Boykin);0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0
Call Me;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Just the Two of Us (LP Version) [Samba 24 TPM];0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Rock Me Tonight (For Old Times Sake);0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Way to Your Heart;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Night Fever;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Fast Car;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Make It To Me;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonight (Best You Ever Had) (feat. Ludacris);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mr. Brightside (Radio Edit);0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Fever;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0
About You;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0
Secret Combination;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
It's Only Love Doing Its Thing;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
Comin' Home Baby (feat. Boyz II Men);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FourFiveSeconds (Acoustic Version);0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0
American Boy (Acoustic Version);0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
Relax, Take It Easy;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0
Run Away With Me (Acoustic Version);0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Puerto Rico;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Oooh Oooh Oooh;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1
Estoy Aquí;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Punto de Referencia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Walk On The Wild Side (Cover) (Radio Edit);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweet Dreams - Cha Cha Ch (Cha-Cha 31 TPM);0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Straighten Up and Fly Right [Foxtrott 35 TPM];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clandestino;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
One Of These Nights;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Theme From S.W.A.T. (Extended 7"" Version)";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Up To Date (Titelmelodie ''Das aktuelle Sportstudio'');0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Mit Schirm, Charme Und Melone (Titelmelodie) (The Avengers);0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1
Soulful Strut;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0
MfG - Mit freundlichen Grüßen (Radio Instrumental);0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0
Never Gonna Dance Again? (XX EDIT);0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0
What Do Ya Really Want?;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Smile;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Rise [The Reflex Revision];0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Fly Like An Eagle;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Black Horse & the Cherry Tree [The Reflex Remix];0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0
Garden Party;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0
Annanas (G-Corporation dub);0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Henderson's Groove (Deep Tenor City's Inspirational Mix);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Want Your Love (Dimitri From Paris Instrumental) [2018 Remaster];0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
Lieblingsmensch (Instrumental);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hermosa Maria;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Mockingbird;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Märchen schreibt die Zeit Die Schöne und das Biest;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Follow The Leader [Champeta];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calabria 2007 (Radio Mix) (feat. Natasja);0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1
Jump (French Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tú Me Quemas (feat. Gente di Zona);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dare (La La La);0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Let's Get Loud (Album Version) [Cha-Cha 34 TPM];0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0
Gonna Make You Sweat (Everybody Dance Now);0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1
Watch Out For This (Bumaye);0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Schüttel deinen Speck;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1
Mundian To Bach Ke (Radio Mix);0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1
Thrift Shop;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1
Con Calma;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1, 2, 3 (feat. Jason Derulo & De La Ghetto);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Need Your Love;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Safari [feat. Pharrell Williams & BIA & Sky] [Champeta];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Gozadera;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reggaetón Lento (Bailemos);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HP;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Dios Le Pido (Album Version);0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hora Loca;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Tortura [Samba 50 TPM];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Million;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hey Ma (feat. Camila Cabello) [Spanish Version];0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Mi Gente (feat. Beyonce);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apariencias;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obsesión (Original Version) [Bachata];0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rechazame;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Casate Conmigo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Balada (Tche Tcherere Tche Teche);0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup Song);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Sofia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bara Bara' Bere Bere';0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1
Pepas;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1
Danza Kuduro (Album Version);0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
Samba de Janeiro;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
Bailando por el mundo (Explicit Version);0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Qué Chimba;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Know You Want Me (Calle Ocho) (Extended);0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Que Calor (feat. J Balvin & El Alfa);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Da Getto;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tacata (Extended Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stanga (Original Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Scream & Shout (Dirty / Main);0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1
Sexy And I Know It (Album Version);0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1
Magalenha (Extended Mix);0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Do It Right (feat. Tkay Maidza);0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0
Gasolina (Album Version);0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0
Macarena;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Never Leave You (Uh-Oooh);0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1
Single Ladies (Put a Ring on It);0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1
