;2.9.;3.9.;8.9.;9.9.;10.9.;16.9.;17.9.;22.9.;23.9.;30.9.
Breaking Free - High School Extended Mix;0;0;1;0;0;0;0;0;0;0
For You;0;0;1;0;0;0;0;0;0;0
Feierabend;0;0;1;0;0;0;0;0;0;0
Titanium (feat. Sia);0;0;1;0;0;0;0;0;0;0
Wanna Be (Extended);0;0;1;0;0;0;0;0;0;0
Uptown Funk (Intro);0;0;0;1;0;0;0;0;0;0
Blinding Lights (DJ ROCCO & DJ EVER B 117-85 Transition) (Clean Short Edit);0;0;0;1;0;0;0;0;0;0
El Temperamento - Spanish Single Version;0;0;0;1;0;0;0;0;0;0
Norderney (Stereoact Remix);0;0;0;1;0;0;0;0;0;0
Blue (Da Ba Dee) [Video Edit];0;0;0;1;0;0;0;0;0;0
This Girl (Kungs vs Cookin' On 3 Burners) [Extended];0;0;0;1;0;0;0;0;0;0
Hey Brother;0;0;0;1;0;0;0;0;0;0
Herzbeben (Extended Mix);0;0;0;1;0;0;0;0;0;0
Holland;0;0;0;1;0;0;0;0;0;0
"Memories (Featuring Kid Cudi;Extended)";0;0;0;1;0;0;0;0;0;0
Loin (Pilule Violette);0;0;0;1;0;0;0;0;0;0
Get Busy (HH Clean Intro);0;0;0;1;0;0;0;0;0;0
Yeah!;0;0;0;1;0;0;0;0;0;0
Libertine [Radio Edit]/Radio Edit;0;0;0;1;0;0;0;0;0;0
Like Glue (HH Clean Intro);0;0;0;1;0;0;0;0;0;0
Desenchantée [Radio Edit]/Radio Edit;0;0;0;1;0;0;0;0;0;0
Party Mix III;0;0;0;1;0;0;0;0;0;0
Move Your Ass! - Noisecontrollers Remix;0;0;0;1;0;0;0;0;0;0
500 PS (DJ BLIZZ MIXSHOW);0;0;0;1;0;0;0;0;0;0
Casanova (DJ Blizz Mixshow);0;0;0;1;0;0;0;0;0;0
10von10 (DJ CASHESCLAY & DJ MASTABLAZE);0;0;0;1;0;0;0;0;0;0
Bläulich;0;0;0;1;0;0;0;0;0;0
Survivor;0;0;0;1;0;0;0;0;0;0
Praise You [Full Version]/Full Version;0;0;0;1;0;0;0;0;0;0
EASY X FELIX JAEHN REMIX;0;0;0;1;0;0;0;0;0;0
Vergeben Vergessen Und Wieder Vertrau'n;0;0;0;1;0;0;0;0;0;0
Madonna (HH Dirty Intro);0;0;0;1;0;0;0;0;0;0
Wohin Willst Du;0;0;0;1;0;0;0;0;0;0
You Will Never Walk Alone (-5.7 DJ Tobi Schagen Wedding Cut);0;0;0;1;0;0;0;0;0;0
"Love Me Like You Do (From ""Fifty Shades Of Grey"")";0;0;0;0;1;0;0;0;0;0
Desce Pro Play (PA PA PA);0;0;0;0;1;0;0;0;0;0
Tomorrow Can Wait [(Club Version)]/(Club Version);0;0;0;0;1;0;0;0;0;0
Ententanz (Dance Little Bird);0;0;0;0;1;0;0;0;0;0
The Riddle;0;0;0;0;1;0;0;0;0;0
Sounds Like a Melody - Extended Mix;0;0;0;0;1;0;0;0;0;0
Je ne parle pas français - Beatgees Remix;0;0;0;0;1;0;0;0;0;0
Lost on You-LP by Cubaneros Salsa Dance by MySalsaHome;0;0;0;0;1;0;0;0;0;0
Dynoro &  Gigi D'Agostino vs. Dzeko & Torres - In My Mind vs. L_amour Toujours (Crunkz Mashup);0;0;0;0;1;0;0;0;0;0
Bla Bla Bla;0;0;0;0;1;0;0;0;0;0
Bad Roller Memories (Mashup-Germany Edit);0;0;0;0;1;0;0;0;0;0
Hollaback Too Much (David Puentez Mashup) (Dirty Extended);0;0;0;0;1;0;0;0;0;0
Police Man (Kaos VIP Hype Edit) (Clean);0;0;0;0;1;0;0;0;0;0
Get Busy;0;0;0;0;1;0;0;0;0;0
Tamam Tamam (DJ BLIZZ MIXSHOW);0;0;0;0;1;0;0;0;0;0
500 PS;0;0;0;0;1;0;0;0;0;0
Sport (Intro);0;0;0;0;1;0;0;0;0;0
Türlich, Türlich (sicher, Dicker);0;0;0;0;1;0;0;0;0;0
We Like To Party!;0;0;0;0;1;0;0;0;0;0
I Want It That Way;0;0;0;0;1;0;0;0;0;0
Layla (Felix Harrer Bootleg) 2;0;0;0;0;1;0;0;0;0;0
8 (Giorno Bootleg Mix);0;0;0;0;1;0;0;0;0;0
King Of My Castle (Don Diablo Edit) (Extended Mix);0;0;0;0;1;0;0;0;0;0
Palmen aus Plastik;0;0;0;0;1;0;0;0;0;0
Blackout (DJ Blizz Mixshow);0;0;0;0;1;0;0;0;0;0
Hotel;0;0;0;0;1;0;0;0;0;0
Candy Shop (JEKEY Light It Up Bootleg) (Dirty);0;0;0;0;1;0;0;0;0;0
Pjanoo;0;0;0;0;1;0;0;0;0;0
Call On Me;0;0;0;0;1;0;0;0;0;0
Cinderella;0;0;0;0;1;0;0;0;0;0
Dirrty;0;0;0;0;1;0;0;0;0;0
Tamam Tamam;0;0;0;0;1;0;0;0;0;0
Gummibärenbande;0;0;0;0;1;0;0;0;0;0
Pokemon Theme Bootleg Remix;0;0;0;0;1;0;0;0;0;0
Yallah Goodbye (DJ Mighty Hype Intro) (Dirty);0;0;0;0;1;0;0;0;0;0
Ya Salam;0;0;0;0;1;0;0;0;0;0
Loredana & Mozzik - Romeo & Juliet (DJ Serg Re-Drum);0;0;0;0;1;0;0;0;0;0
In Da Club (HH Dirty Intro);0;0;0;0;0;1;0;0;0;0
